0.1,CPU Usage (%),Zone Monitor (CPU %),Main Tool (CPU %),Compression (CPU %),Tiered Detection (CPU %),Camera Tool (CPU %),Listener Tool (CPU %),,,,total per blk,,
Time (mins),,,,,,,,,,,,,
0.5,,34.53,12.05,0.45,4.01,20.9,1.30,,,,73.23,,
1,,34.78,13.025,0.35,0.25,21.575,1.00,,,,70.98,,
1.5,,35.25,13.4,0.50,17.23,21.875,1.50,,,,89.75,,
2,,36.00,13.625,0.55,18.75,21.65,1.60,,,,92.18,,
2.5,,34.50,13.75,0.48,17.35,21.55,1.10,,,,88.73,,
3,,34.50,13.875,0.42,17.35,21.225,1.00,,,,88.37,,
3.5,,36.25,13.85,0.60,17.35,21.775,13.25,,,,103.08,,
4,,36.00,14,2.10,18.25,22.05,2.00,,,,94.40,,
4.5,,36.00,14.15,1.20,17.40,21.925,1.40,,,,92.08,,
5,,36.00,14.225,0.65,17.45,21.825,4.00,,,,94.15,,
5.5,,37.00,16,3.20,17.45,21.825,15.30,,,,110.78,,
6,,37.00,14.425,1.10,17.43,21.9,3.00,,,,94.85,,
6.5,,36.25,14.4,0.75,17.45,21.85,1.80,,,,92.50,,
7,,36.50,14.675,1.40,17.75,21.775,2.40,,,,94.50,,
7.5,,37.00,16,4.80,17.53,21.675,16.10,,,,113.10,,
8,,37.50,14.45,10.10,17.50,21.775,12.50,,,,113.83,,
8.5,,36.50,19.85,2.50,17.75,21.9,2.00,,,,100.50,,
9,,36.75,13.95,6.20,20.00,21.775,2.80,,,,101.48,,
9.5,,35.75,14.5,1.10,17.48,21.6,1.30,,,,91.73,,
10,,37.00,14.53,3.80,17.53,22.5,0.90,,,,96.25,,
,,,,,,,,,,,,,
average per sys,,36.05,14.43625,2.11,16.16,21.74625,4.31,,,,,MEDIAN CPU ,94.28
,,,,,,,,,,,,MEAN CPU ,94.82
,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,,
,,,,,,,,,,#DIV/0!,,,
